Simulation,D1,D2,K,O,best_order,best_delay1,best_mse,best_k,best_mae,best_r2,best_aic,best_bic,k_lower_limit,k_upper_limit,abs_error_order,abs_error_delay1,abs_error_k
1,19.541317680384964,79.69258412800262,-2.273493401007727,1.054767977911979,1.0,100.0,0.3086641473583763,-8.79201762116201,0.4650504138260773,0.6886886996193412,169.89993271807217,172.51505323491344,-9.964779788361431,-7.619255453962589,0.05476797791197896,80.45868231961504,6.5185242201542835
2,18.51985256606713,78.22516600706149,3.7408541992772366,1.7229816881008446,2.0,100.0,0.44130493792184866,26.325756404173557,0.5653614582210554,0.8522057971544035,206.00564720612067,208.62076772296194,24.150688853944093,28.50082395440302,0.2770183118991554,81.48014743393287,22.58490220489632
3,34.31485790992156,34.20876858534757,-3.0366598174441606,2.676775650586933,3.0,34.0,0.058625496198035205,-3.074252966116506,0.18969591882994918,0.9029169518247686,2.130439287110505,4.745559803951765,-3.274249667334362,-2.8742562648986496,0.3232243494130671,0.3148579099215567,0.03759314867234531
4,18.46659193793312,78.80234798009042,-1.9720986008178445,3.2401071987114847,2.0,100.0,0.17176742222813535,-15.719874181048114,0.3305877685436737,0.8408221434590722,110.70257843786595,113.31769895470721,-17.076855143343572,-14.362893218752658,1.2401071987114847,81.53340806206688,13.74777558023027
5,24.707870223093774,30.61247957625892,-0.5464553798083216,3.413189460057765,5.0,24.0,0.06383677452227687,-0.45330272040079755,0.1962454906348382,0.37852490466167465,10.731572704085522,13.346693220926781,-0.5685387785472802,-0.338066662254315,1.5868105399422352,0.7078702230937743,0.09315265940752404
6,36.573636069428176,19.94656137994025,-3.6944464582484215,2.0535504766739905,4.0,21.0,0.4005687292280205,-2.1587091596790513,0.5333871906586195,0.707860935796111,196.2237219249629,198.83884244180416,-2.4338470554052014,-1.8835712639529012,1.9464495233260095,15.573636069428176,1.5357372985693702
7,24.50493817823008,42.16795252135489,-4.339023815700784,3.5294378749094903,2.0,69.0,0.21561975376829753,-16.392146762620044,0.38543855235977864,0.9143229402212902,133.66746270125896,136.28258321810023,-17.387675350588466,-15.396618174651621,1.5294378749094903,44.49506182176992,12.05312294691926
8,28.79852260882035,9.615254338015802,4.525465426268056,1.597313668113202,5.0,70.0,1.1448241183134729,-17.55490094158553,0.7101011636934322,0.7635347349068392,302.28593639882786,304.90105691566913,-19.493121048516837,-15.61668083465422,3.402686331886798,41.20147739117965,22.080366367853586
9,21.231501566711813,74.93404345412273,-1.762413956457749,2.5136792487464845,2.0,100.0,0.11769854656298302,-12.705944070073702,0.2670098429256845,0.8343341203388803,72.52309374890399,75.13821426574525,-13.82922634440984,-11.582661795737565,0.5136792487464845,78.76849843328819,10.943530113615953
10,19.043205899652094,18.45874015928712,-4.358066915301606,1.683220834005624,2.0,19.0,0.058185489626031116,-4.440985506093539,0.19004047302059723,0.9823065344554665,1.3695369858448316,3.9846575026860913,-4.559234573642011,-4.322736438545067,0.31677916599437594,0.04320589965209365,0.08291859079193298
11,36.87206204654649,62.82184673531447,-0.2471836807671934,2.8250462976284325,2.0,100.0,0.05898559079686323,-1.293388495831073,0.19065416513020642,0.09430961383276204,2.7489127500699055,5.364033266911165,-2.088588406428084,-0.49818858523406206,0.8250462976284325,63.12793795345351,1.0462048150638796
12,38.15391731215641,31.17440241936129,-4.002360332524404,3.5812883111648266,5.0,32.0,0.09905580224129813,-3.3258076274695836,0.25989760950272406,0.9191329809192258,55.10631891464297,57.72143943148423,-3.521524875445303,-3.1300903794938644,1.4187116888351734,6.153917312156409,0.6765527050548203
13,44.750757889356464,84.32338023313785,-0.2133615093771368,3.1746751586906607,2.0,100.0,0.05913826662412434,-1.0451470228659892,0.19024444103087979,0.06351155728480118,3.0099991635504466,5.625119680391706,-1.8413753994183457,-0.24891864631363247,1.1746751586906607,55.249242110643536,0.8317855134888523
14,36.18019243935123,70.82734649966005,0.8750868134666234,4.6600211639888585,4.0,70.0,0.061406250947264374,2.263410726989886,0.19846416411944787,0.4546242800907144,6.810975860060182,9.426096376901441,1.7715746412904139,2.755246812689358,0.6600211639888585,33.81980756064877,1.3883239135232626
15,36.481382764410235,12.683230827678926,-3.162916119908914,1.869856373872608,5.0,76.0,0.4030090315907737,12.1680487959114,0.4681094885313044,0.7806265492794727,196.83715676181708,199.45227727865836,10.888294045308243,13.447803546514557,3.130143626127392,39.518617235589765,15.330964915820314
16,26.29055368946865,71.93783677939791,-0.5999049672391265,4.488339740317314,2.0,100.0,0.06218987815934495,-3.9014813760907834,0.1937285701062336,0.47331741483869316,8.091718380686416,10.706838897527675,-4.7179945735550515,-3.084968178626515,2.488339740317314,73.70944631053135,3.301576408851657
17,13.523130897898229,56.642694049631245,-4.390829714247957,4.363569350447506,2.0,100.0,0.8743292728748961,-41.80155442823795,0.7446013412866017,0.8800662611986211,275.0614622898456,277.6765828066869,-44.86310096464922,-38.74000789182668,2.3635693504475057,86.47686910210177,37.41072471398999
18,13.064709662925452,59.57624540769029,-0.937341620447114,1.2644624295644462,1.0,100.0,0.11166229211219196,-4.475982883532608,0.27045889141866125,0.6131408916905161,67.20568632491225,69.82080684175351,-5.181357980460795,-3.7706077866044208,0.2644624295644462,86.93529033707455,3.538641263085494
19,32.2071108748205,72.04691607214045,0.8957978838589042,1.3239166899584234,1.0,100.0,0.06331468159373176,2.191215738474609,0.20504441941084148,0.40115789139302815,9.90214166579409,12.51726218263535,1.6600634373563055,2.722368039592913,0.3239166899584234,67.7928891251795,1.295417854615705
20,20.981196189764887,31.96161243959796,-3.6562309449072927,3.7759221256710584,2.0,43.0,0.30188709475347136,-8.959375715163175,0.4252862374378246,0.8773963419016296,167.65766252320512,170.2727830400464,-9.623832877234266,-8.294918553092083,1.7759221256710584,22.018803810235113,5.303144770255882
21,33.15067443577573,56.825357693596736,-2.7197519142646343,1.480275070760399,1.0,100.0,0.0974394409189462,-7.248233496489119,0.24784055984783185,0.8264746889880769,53.44463822135583,56.05975873819709,-7.907155856818293,-6.589311136159945,0.4802750707603991,66.84932556422427,4.528481582224485
22,43.767599599901594,78.44093726074787,0.3826929058413952,3.3672926598228514,5.0,61.0,0.057469880633200264,0.5017230048709259,0.190450678321747,0.07186543566675618,0.11966107458584929,2.734781591427109,0.14400163130305732,0.8594443784387945,1.6327073401771486,17.232400400098406,0.11903009902953071
23,31.59709141822532,31.908440927392803,-0.1168293610680848,1.4498843154869974,5.0,18.0,0.05854583481256378,-0.0940039419600155,0.18971216378798364,0.0426576571026257,1.9931053317329201,4.60822584857418,-0.18235599251196222,-0.005651891408068793,3.5501156845130026,13.597091418225322,0.02282541910806929
24,28.33967986190692,18.05218123004306,0.3213044570293277,3.376156684476882,5.0,90.0,0.06491424834627368,-1.222419547759773,0.20327750193462274,0.12666547420982222,12.42208194283478,15.037202459676038,-1.8592398600965916,-0.5855992354229544,1.6238433155231178,61.660320138093084,1.5437240047891008
25,32.79691274603829,4.659662122954615,-2.0843065541703254,3.862354466225952,5.0,74.0,0.21360835693325286,12.899651737395912,0.3340767328734361,0.889837000319636,132.7208678146937,135.33598833153496,11.99916760368511,13.800135871106713,1.137645533774048,41.20308725396171,14.983958291566237
26,42.286359669175,84.35979570483323,-4.737547567347065,1.2654046970419586,1.0,100.0,0.25998207480732943,-10.801899945893744,0.43249776160379927,0.7985719318712939,152.5641817747495,155.17930229159077,-11.878212872969769,-9.72558701881772,0.26540469704195857,57.713640330825,6.06435237854668
