Simulation,D1,D2,K,O,best_delay1,best_mse,best_k,best_mae,best_r2,best_aic,best_bic,k_lower_limit,k_upper_limit,abs_error_delay1,abs_error_k
1,19.541317680384964,79.69258412800262,-2.273493401007727,1.054767977911979,73.0,0.5279349935026769,-1.7738166755020368,0.5955858375193173,0.4675373516803327,224.10858946395157,226.72370998079285,-2.1493777597939507,-1.3982555912101227,53.458682319615036,0.49967672550569
2,18.51985256606713,78.22516600706149,3.7408541992772366,1.7229816881008446,74.0,2.0892528270986013,2.4813565463817855,1.185585065427659,0.3003036458689502,363.0430405166902,365.6581610335315,1.7299082419433889,3.232804850820182,55.48014743393287,1.2594976528954511
3,34.31485790992156,34.20876858534757,-3.0366598174441606,2.676775650586933,26.0,0.12976957456251276,-1.1218537601569576,0.2851094584896662,0.7851032967571893,82.38409833924251,84.99921885608377,-1.2382993800316127,-1.0054081402823025,8.314857909921557,1.914806057287203
4,18.46659193793312,78.80234798009042,-1.9720986008178445,3.2401071987114847,76.0,0.7692196180681207,-1.5053990322850057,0.7148041174524893,0.2871597627477316,262.1253288378589,264.74044935470016,-1.975965932826903,-1.0348321317431084,57.53340806206688,0.4666995685328388
5,24.707870223093774,30.61247957625892,-0.5464553798083216,3.413189460057765,22.0,0.06617038663340574,-0.29356680238146243,0.2068219650640215,0.35580630993160434,14.357836665043578,16.972957181884837,-0.37193570870973963,-0.21519789605318523,2.7078702230937743,0.25288857742685916
6,36.573636069428176,19.94656137994025,-3.6944464582484215,2.0535504766739905,19.0,0.46313152489848386,-1.4248435250509495,0.5724856360328288,0.6622332188837802,210.881420095022,213.49654061186328,-1.6267292412708183,-1.2229578088310806,17.573636069428176,2.269602933197472
7,24.50493817823008,42.16795252135489,-4.339023815700784,3.5294378749094903,26.0,1.2850214455642646,-1.8081828850948551,0.9738209430848411,0.4893934471011302,313.9538998510059,316.56902036784714,-2.1746136291898512,-1.4417521409998588,1.4950618217699194,2.530840930605929
8,28.79852260882035,9.615254338015802,4.525465426268056,1.597313668113202,14.0,2.333210308712068,2.292073043932777,1.2665877317682896,0.5180716536785754,374.1973422574549,376.8124627742962,1.85348154725262,2.7306645406129344,14.798522608820349,2.233392382335279
9,21.231501566711813,74.93404345412273,-1.762413956457749,2.5136792487464845,76.0,0.5186927817251608,-1.184254333031164,0.5845601715084723,0.2699171020570842,222.3247888125743,224.93990932941557,-1.5706669532654312,-0.7978417127968966,54.76849843328819,0.5781596234265851
10,19.043205899652094,18.45874015928712,-4.358066915301606,1.683220834005624,15.0,0.21655653218431456,-2.5546371991109917,0.3733551489428908,0.9341479196054985,134.1053153612648,136.72043587810606,-2.6892051345397494,-2.420069263682234,4.043205899652094,1.8034297161906143
11,36.87206204654649,62.82184673531447,-0.2471836807671934,2.8250462976284325,80.0,0.05839258727849981,-0.25658082168778884,0.194485951904575,0.1034148474718507,1.7283846432824248,4.3435051601236845,-0.406467815138881,-0.10669382823669674,43.12793795345351,0.009397140920595431
12,38.15391731215641,31.17440241936129,-4.002360332524404,3.5812883111648266,28.0,0.16994001089511152,-1.7210410908552358,0.33840341498059956,0.8612646428306604,109.62229579652617,112.23741631336743,-1.85808253975513,-1.5839996419553417,10.153917312156409,2.281319241669168
13,44.750757889356464,84.32338023313785,-0.2133615093771368,3.1746751586906607,80.0,0.056724721890816246,-0.250588020211839,0.19043903238937276,0.10173142536252311,-1.1984765527879517,1.416643964053308,-0.3983188974318189,-0.10285714299185914,35.249242110643536,0.037226510834702214
14,36.18019243935123,70.82734649966005,0.8750868134666234,4.6600211639888585,48.0,0.08803470770298592,0.28332506092487775,0.242833664098224,0.21812533170683013,43.19314591623109,45.80826643307235,0.176901951682714,0.3897481701670415,11.81980756064877,0.5917617525417457
15,36.481382764410235,12.683230827678926,-3.162916119908914,1.869856373872608,17.0,0.9905963963256634,-1.355416510454824,0.8260884854693141,0.4607799510708164,287.6713259401455,290.28644645698677,-1.6463169874137107,-1.0645160334959372,19.481382764410235,1.80749960945409
16,26.29055368946865,71.93783677939791,-0.5999049672391265,4.488339740317314,80.0,0.09743812245411214,-0.4491674175071031,0.25250248013578563,0.17480201366684456,53.44327156892098,56.058392085762236,-0.6427871173172677,-0.25554771769693846,53.70944631053135,0.15073754973202336
17,13.523130897898229,56.642694049631245,-4.390829714247957,4.363569350447506,78.0,5.103889808952063,-4.231041927224051,1.7797326360896937,0.2998878040476366,453.2558823294261,455.87100284626734,-5.513629954977535,-2.9484538994705662,64.47686910210177,0.15978778702390617
18,13.064709662925452,59.57624540769029,-0.937341620447114,1.2644624295644462,73.0,0.16413705275937387,-0.9192666235324866,0.31870421611022715,0.4313396880010396,106.1131789354298,108.72829945227106,-1.128674819273336,-0.7098584277916371,59.93529033707455,0.01807499691462744
19,32.2071108748205,72.04691607214045,0.8957978838589042,1.3239166899584234,11.0,0.08278149898360918,0.21622217337883057,0.24215077968523063,0.21703708907385222,36.97896454407919,39.59408506092045,0.13474437627345662,0.2976999704842045,21.2071108748205,0.6795757104800737
20,20.981196189764887,31.96161243959796,-3.6562309449072927,3.7759221256710584,22.0,0.6998717954175726,-2.038601511271997,0.6817459380042343,0.715765119445928,252.58291458561774,255.19803510245902,-2.29347296490273,-1.783730057641264,1.018803810235113,1.6176294336352957
21,33.15067443577573,56.825357693596736,-2.7197519142646343,1.480275070760399,13.0,0.27391482830284136,-0.7713991539792779,0.45343897632858754,0.5121979834473158,157.83683898815266,160.45195950499394,-0.9207533591428214,-0.6220449488157345,20.150674435775727,1.9483527602853563
22,43.767599599901594,78.44093726074787,0.3826929058413952,3.3672926598228514,49.0,0.057153426145463794,0.12617653239113855,0.18853114512854327,0.07697615357447551,-0.4380262817815037,2.177094235059756,0.03949184672978391,0.2128612180524932,5.232400400098406,0.2565163734502567
23,31.59709141822532,31.908440927392803,-0.1168293610680848,1.4498843154869974,80.0,0.05524308187624753,-0.24037933315800014,0.18753375548524143,0.09666432118363166,-3.871644587376295,-1.2565240705350353,-0.38616809191776275,-0.09459057439823754,48.40290858177468,0.12354997208991535
24,28.33967986190692,18.05218123004306,0.3213044570293277,3.376156684476882,20.0,0.0665371640682297,0.13326305605714528,0.20024675627092373,0.1048313103931009,14.916126152636252,17.53124666947751,0.0560035128321959,0.21052259928209466,8.33967986190692,0.18804140097218242
25,32.79691274603829,4.659662122954615,-2.0843065541703254,3.862354466225952,56.0,1.1750066239278347,1.8348954450886197,0.8373850014519574,0.39402064509753654,304.91423598887184,307.5293565057131,1.3834386635297418,2.2863522266474976,23.203087253961712,3.919201999258945
26,42.286359669175,84.35979570483323,-4.737547567347065,1.2654046970419586,74.0,0.6745338032114886,-2.0569092398220765,0.623376809561334,0.4773868891957609,248.8585013551761,251.47362187201736,-2.483887210569369,-1.629931269074784,31.713640330825,2.680638327524988
27,14.96370202070102,16.604965889942832,1.719472334953025,3.9883849225007,15.0,0.08586003101540844,1.3485759899273033,0.23195606526537876,0.9088468034953292,40.66686135704535,43.28198187388661,1.263843207902844,1.4333087719517625,0.03629797929898082,0.37089634502572166
28,15.064479906577615,53.01246921683196,-4.269299487350509,2.6667801286093886,76.0,3.608701431071488,-3.5407549533410276,1.4712859491557824,0.32204679214076726,418.2437310253335,420.85885154217476,-4.559983727370862,-2.521526179311193,60.93552009342238,0.7285445340094809
29,23.6155263572,53.860868249437765,3.7398873490747055,2.043109294492752,20.0,1.1306029361709176,1.0367251924738559,0.9676694906894197,0.29433726940664073,301.02344099541045,303.6385615122517,0.7182504116480184,1.3551999732996933,3.6155263572000003,2.7031621566008495
30,7.449986201245338,66.88098379981238,2.9385567258577794,3.35477203829214,73.0,3.1356234155572045,3.164134190575694,1.4768856479203962,0.31991731870133955,404.05121281355554,406.6663333303968,2.2488576968105227,4.079410684340866,65.55001379875466,0.22557746471791473
31,8.858500503469257,20.7562061190838,-4.6385439892765135,4.017758975271136,13.0,2.3171522217891813,-3.8098766398201795,1.2529461945581324,0.7517218883564784,373.49981675707454,376.1149372739158,-4.244273788379021,-3.3754794912613377,4.141499496530743,0.8286673494563339
32,2.2477346858941014,69.05170061008539,-2.6441970968153328,4.30783369904384,71.0,3.115149370968976,-3.8866359749723194,1.5352220237473133,0.41894847297309723,403.38957113526294,406.0046916521042,-4.794741497842494,-2.9785304521021456,68.7522653141059,1.2424388781569866
33,38.124038759153336,21.700387287302878,-3.7858026672620326,1.123183231335133,13.0,0.2489246034218934,-1.2800363434530875,0.4295121144977161,0.7608498396341327,148.17445589424304,150.7895764110843,-1.4224145752969681,-1.1376581116092068,25.124038759153336,2.5057663238089454
34,18.965779857244343,45.68645752838347,2.7208744909148663,2.3484261273406446,18.0,0.7232470352258942,0.9531734108737849,0.7611081739532565,0.3629900395548671,255.9011358357111,258.5162563525524,0.7026587715990789,1.203688050148491,0.9657798572443426,1.7677010800410815
35,22.97350197890773,31.9512724672677,1.9833933457266535,3.763525473419577,24.0,0.1637808364750826,1.0125586145687748,0.3363983536310855,0.7153138212457908,105.89374681509503,108.50886733193629,0.8858253887582832,1.1392918403792665,1.0264980210922694,0.9708347311578787
36,44.2261340576224,38.86371307133231,-3.816998858237639,2.2803244856186207,23.0,0.12170938838032368,-0.9283719731969537,0.27834724915757303,0.7448234965305693,75.90755073606121,78.52267125290247,-1.0361800034074093,-0.8205639429864983,21.226134057622403,2.8886268850406855
37,24.01537064788863,53.016744854976416,-1.656544281868264,1.8227108675055208,78.0,0.26758166774344283,-1.0611964075458222,0.4089715738258876,0.339482456265325,155.47420732156445,158.08932783840572,-1.3548698776922892,-0.7675229373993553,53.98462935211137,0.5953478743224419
38,11.390934981871396,75.81160350178834,4.65222654514946,2.5813385634683077,75.0,6.5936007945864255,4.209506326476522,2.089660685943273,0.2775478787980168,479.1216435205698,481.7367640374111,2.862088841392251,5.556923811560792,63.609065018128604,0.44272021867293887
39,3.050105853471905,16.653508703806438,2.5388899899553508,4.583536233287305,8.0,1.1087283471210445,2.2487098809401296,0.8809977157574929,0.6925431059900808,299.0501699687625,301.66529048560375,1.9514491276602768,2.5459706342199824,4.949894146528095,0.2901801090152212
40,2.3833863358013327,12.0839451685315,-2.040034892270341,1.565013378392905,7.0,0.4640106658267403,-1.8836884362554807,0.5915770282139412,0.7906829404003477,211.0729619345683,213.68808245140957,-2.0759735366045664,-1.691403335906395,4.616613664198667,0.1563464560148604
41,1.361118130851537,44.78699148178566,-4.099973588017747,1.846654073800892,70.0,5.5103379963393255,-5.691649748214395,1.9254543459386118,0.46663246741449194,460.994806034155,463.60992655099625,-6.898905855882468,-4.4843936405463225,68.63888186914846,1.5916761601966485
42,17.94013882940635,81.1200901385164,3.907916567986831,3.0553071484901007,75.0,2.99277758168948,2.552997234079437,1.407966594623136,0.23741312779600354,399.34197694819716,401.95709746503843,1.6452225332875814,3.4607719348712926,57.05986117059365,1.354919333907394
43,16.438718808349222,61.59429343941156,0.558160728542134,4.61632915539667,86.0,0.12685703044418256,0.4295991844121565,0.2935455712921468,0.0732995937804427,80.09143201777266,82.70655253461392,0.12654675199267423,0.7326516168316388,69.56128119165078,0.12856154412997756
44,11.112368256319314,25.974381519830786,4.3207856838125736,3.3219478637911375,15.0,1.9537788059328052,2.940716513728337,1.1981914606432533,0.6756913881022524,356.27188371034833,358.8870042271896,2.5365189957284007,3.344914031728273,3.8876317436806858,1.3800691700842367
45,24.6824934524484,83.98520204762463,1.818739763693884,4.412088635843247,75.0,0.5276235396050364,0.6642494496404666,0.6054586791646613,0.10677910485099829,224.04898718972817,226.66410770656944,0.2830932961203348,1.0454056031605985,50.3175065475516,1.1544903140534175
46,42.98697528289631,85.34314724209251,2.689658199669793,1.3943422404117882,11.0,0.24356762527441367,0.5452606957816355,0.4302948988182882,0.3746563860503319,145.97715773910338,148.59227825594465,0.4055008488232581,0.6850205427400129,31.98697528289631,2.1443975038881575
47,3.329629132989794,73.08384705346542,-2.62094181147404,3.918703924398869,72.0,3.4451154780847166,-3.796608310465564,1.6148345071948609,0.38257670942083977,413.55828357102223,416.1734040878635,-4.75350150865912,-2.8397151122720077,68.6703708670102,1.1756664989915238
48,22.9320531305857,14.385002176160924,0.3937162330839783,3.0396555182524025,15.0,0.06891962877073743,0.21151382703781044,0.1989532751551545,0.23404395186973548,18.469344082004397,21.084464598845656,0.13559885960901663,0.28742879446660424,7.9320531305857,0.18220240604616786
49,23.06106133433059,14.65127202065196,-4.539396424079314,3.151062638033181,17.0,0.6512595302552171,-2.8846404299919537,0.662944141896677,0.8548028941704069,245.3120314318682,247.92715194870948,-3.1205106473551485,-2.648770212628759,6.061061334330589,1.6547559940873602
50,35.26674957154319,81.65887168643529,1.7294062033761293,4.470975593198091,49.0,0.2454342173926288,0.3375304591363874,0.42521424890260373,0.12201329335419175,146.74822526132414,149.3633457781654,0.1578963523789379,0.5171645658938369,13.733250428456813,1.3918757442397418
51,38.387484818231314,58.97716332075652,4.724220939679071,2.9451444265432656,29.0,0.7654674275183991,0.8356103729470186,0.7661445156024712,0.24029785183600927,261.6314535533402,264.24657407018145,0.5408385354122287,1.1303822104818084,9.387484818231314,3.8886105667320527
52,10.114247138146313,83.18706711649429,-0.3212709433864802,4.656259706709534,78.0,0.09697169876014274,-0.5323620070878692,0.2551544336467159,0.26303509761329835,52.95863675794391,55.573757274785166,-0.7091525537700666,-0.3555714604056718,67.88575286185369,0.21109106370138897
53,27.765837521757927,63.07321123534348,2.2208030929323286,4.290948875714093,36.0,0.5099481994684268,0.4751091449841324,0.6331940610790727,0.12787797242798316,220.6075247700453,223.22264528688657,0.22894795645068883,0.7212703335175761,8.234162478242073,1.745693947948196
54,4.562185644637792,19.128436544328,-1.247321501141414,1.1882619471289215,7.0,0.2276208830931027,-0.9401559530358417,0.39964554450591677,0.6573237196769575,139.1381271344474,141.75324765128866,-1.0748311760817106,-0.8054807299899728,2.4378143553622076,0.3071655481055724
55,2.8809038712643087,3.478359319153242,0.9654652245808392,2.038948189932853,3.0,0.060569608889278974,0.962204680919368,0.1978581814604854,0.88324162439811,5.425420174260694,8.040540691101953,0.8927970602591602,1.0316123015795757,0.11909612873569131,0.0032605436614712158
56,20.561381647828966,60.514654130791314,-1.6450192674528807,2.0149471047334373,76.0,0.34553491803641295,-1.1900625658191462,0.4649459113778968,0.3591535146024274,181.29676456641548,183.91188508325675,-1.505448391246756,-0.8746767403915363,55.438618352171034,0.4549567016337346
57,5.996039734687656,72.82595738430973,4.513442703755572,4.579610808286816,74.0,9.83093906031053,5.45676890720761,2.6262828706455044,0.30608695402679964,519.4645641307955,522.0796846476367,3.8267182110102054,7.086819603405014,68.00396026531234,0.9433262034520373
58,18.643416868057106,33.7925454051001,0.6819766492117196,3.020303233060986,20.0,0.07784827452557104,0.30030644345299573,0.22582492826316547,0.33699733420194433,30.773235658501335,33.388356175342594,0.21673758140663538,0.3838753054993561,1.3565831319428945,0.3816702057587239
59,9.317899488378316,22.361022843862884,-1.715954408282414,1.5892887371592224,12.0,0.31976668218243914,-1.2177787543876102,0.4711793727864959,0.6935116975242226,173.4690533096221,176.08417382646337,-1.3783929336114975,-1.0571645751637229,2.682100511621684,0.4981756538948039
