"Time","Effect","FINAL TIME","INITIAL TIME","Input noise","K","L1","L2","O","Perception","Reality","SAVEPER","seed","st dev 1","st dev 2","TIME STEP"
0,0.213745,100,0,0.978053,1,10,30,3,0,0,1,9,0.25,0.25,1
1,-0.0834244,,,0.923887,,,,,0,0.0922348,,,,,
2,-0.041723,,,0.773635,,,,,0,0.153698,,,,,
3,-0.0897253,,,0.536683,,,,,0,0.158601,,,,,
4,-0.0372941,,,0.623704,,,,,0.00249034,0.242882,,,,,
5,-0.483084,,,0.955035,,,,,0.00937955,0.457868,,,,,
6,0.225597,,,1.05508,,,,,0.0203185,0.595741,,,,,
7,0.137048,,,0.925794,,,,,0.0362928,0.596413,,,,,
8,0.143784,,,0.555005,,,,,0.0619264,0.398136,,,,,
9,-0.037165,,,0.705348,,,,,0.0997493,0.552518,,,,,
10,-0.310955,,,0.748194,,,,,0.146993,0.629583,,,,,
11,0.53547,,,0.97258,,,,,0.194045,0.866771,,,,,
12,0.516666,,,1.09128,,,,,0.240546,1.01712,,,,,
13,0.286372,,,0.840986,,,,,0.287318,0.810339,,,,,
14,0.33877,,,0.844242,,,,,0.339726,0.831958,,,,,
15,0.474058,,,0.957833,,,,,0.401036,0.955434,,,,,
16,0.215979,,,0.936281,,,,,0.463208,0.935882,,,,,
17,0.842027,,,1.19676,,,,,0.522202,1.18678,,,,,
18,0.458908,,,1.20265,,,,,0.579061,1.1712,,,,,
19,0.201296,,,1.29891,,,,,0.632541,1.22916,,,,,
20,0.93538,,,1.49507,,,,,0.688274,1.35946,,,,,
21,0.881148,,,1.38696,,,,,0.74578,1.19724,,,,,
22,0.698323,,,1.41337,,,,,0.804525,1.1427,,,,,
23,1.15251,,,1.40589,,,,,0.865989,1.04838,,,,,
24,0.900964,,,1.272,,,,,0.924054,0.85919,,,,,
25,0.870248,,,1.24169,,,,,0.940807,0.743115,,,,,
26,1.02466,,,1.29898,,,,,0.956279,0.669626,,,,,
27,1.00812,,,1.10996,,,,,0.970286,0.474375,,,,,
28,0.873334,,,1.14143,,,,,0.982606,0.382366,,,,,
29,1.15499,,,1.17436,,,,,0.993039,0.280964,,,,,
30,0.751119,,,1.33378,,,,,1.00128,0.188224,,,,,
31,1.04116,,,1.39508,,,,,1.00709,0.0580085,,,,,
32,1.17594,,,1.25173,,,,,1.01022,-0.0730688,,,,,
33,1.39693,,,1.25366,,,,,1.01049,-0.19776,,,,,
34,0.706219,,,1.04886,,,,,1.00772,-0.268028,,,,,
35,0.696704,,,1.35804,,,,,1.00174,-0.476379,,,,,
36,0.860164,,,1.36082,,,,,0.992367,-0.602191,,,,,
37,1.56117,,,1.28709,,,,,0.979536,-0.681946,,,,,
38,1.0812,,,1.40675,,,,,0.963084,-0.860733,,,,,
39,0.935968,,,1.12045,,,,,0.942889,-0.770608,,,,,
40,0.952071,,,1.03294,,,,,0.918904,-0.781729,,,,,
41,1.05839,,,0.956692,,,,,0.89105,-0.782839,,,,,
42,0.824131,,,0.962419,,,,,0.859492,-0.838821,,,,,
43,1.19601,,,0.876048,,,,,0.824478,-0.802606,,,,,
44,1.18091,,,0.635444,,,,,0.786316,-0.60469,,,,,
45,0.445673,,,0.708178,,,,,0.745304,-0.692265,,,,,
46,0.817331,,,1.06958,,,,,0.701813,-1.06283,,,,,
